;Lvl;PreEvol;HM;TM;Egg;Tutor;Move;TR;Pokemon
65;;False;;01;False;False;Take Down;;Charmeleon
66;;False;;07;False;False;Protect;;Charmeleon
67;;False;;24;False;False;Fire Spin;;Charmeleon
68;;False;;25;False;False;Facade;;Charmeleon
69;;False;;32;False;False;Swift;;Charmeleon
70;;False;;36;False;False;Rock Tomb;;Charmeleon
71;;False;;38;False;False;Flame Charge;;Charmeleon
72;;False;;43;False;False;Fling;;Charmeleon
73;;False;;44;True;False;Dragon Tail;;Charmeleon
74;;False;;47;False;False;Endure;;Charmeleon
75;;False;;49;False;False;Sunny Day;;Charmeleon
76;;False;;55;False;False;Dig;;Charmeleon
77;;False;;57;False;False;False Swipe;;Charmeleon
78;;False;;58;False;False;Brick Break;;Charmeleon
79;;False;;61;False;False;Shadow Claw;;Charmeleon
80;;False;;66;False;False;Body Slam;;Charmeleon
81;;False;;67;False;False;Fire Punch;;Charmeleon
82;;False;;68;False;False;Thunder Punch;;Charmeleon
83;;False;;70;False;False;Sleep Talk;;Charmeleon
84;;False;;78;False;False;Dragon Claw;;Charmeleon
85;;False;;85;False;False;Rest;;Charmeleon
86;;False;;86;False;False;Rock Slide;;Charmeleon
87;;False;;88;False;False;Swords Dance;;Charmeleon
88;;False;;100;False;False;Dragon Dance;;Charmeleon
89;;False;;103;False;False;Substitute;;Charmeleon
90;;False;;107;False;False;Will-O-Wisp;;Charmeleon
91;;False;;108;False;False;Crunch;;Charmeleon
92;;False;;115;False;False;Dragon Pulse;;Charmeleon
93;;False;;118;False;False;Heat Wave;;Charmeleon
94;;False;;130;False;False;Helping Hand;;Charmeleon
95;;False;;141;False;False;Fire Blast;;Charmeleon
96;;False;;144;False;False;Fire Pledge;;Charmeleon
97;;False;;156;False;False;Outrage;;Charmeleon
98;;False;;157;False;False;Overheat;;Charmeleon
99;;False;;171;False;False;Tera Blast;;Charmeleon
100;;False;;;True;False;Ancient Power;;Charmeleon
101;;False;;;True;False;Belly Drum;;Charmeleon
102;;False;;;True;False;Bite;;Charmeleon
103;;False;;;True;False;Counter;;Charmeleon
104;;False;;;True;False;Dragon Rush;;Charmeleon
105;;False;;;True;False;Iron Tail;;Charmeleon
106;;False;;;True;False;Metal Claw;;Charmeleon
107;1;False;;78;False;False;Dragon Claw;;Charizard
108;1;False;;;False;False;Ember;;Charizard
109;1;False;;;False;False;Growl;;Charizard
110;1;False;;118;False;False;Heat Wave;;Charizard
111;1;False;;;False;False;Scratch;;Charizard
112;1;False;;;False;False;Smokescreen;;Charizard
113;12;False;;;False;False;Dragon Breath;;Charizard
114;19;False;;08;False;False;Fire Fang;;Charizard
115;24;False;;;False;False;Slash;;Charizard
116;30;False;;125;False;False;Flamethrower;;Charizard
117;39;False;;06;False;False;Scary Face;;Charizard
118;46;False;;24;False;False;Fire Spin;;Charizard
119;54;False;;;False;False;Inferno;;Charizard
120;62;False;;165;False;False;Flare Blitz;;Charizard
121;;False;;01;False;False;Take Down;;Charizard
122;;False;;07;False;False;Protect;;Charizard
123;;False;;14;False;False;Acrobatics;;Charizard
124;;False;;25;False;False;Facade;;Charizard
125;;False;;27;False;False;Aerial Ace;;Charizard
126;;False;;28;False;False;Bulldoze;;Charizard
127;;False;;32;False;False;Swift;;Charizard
128;;False;;36;False;False;Rock Tomb;;Charizard
129;;False;;38;False;False;Flame Charge;;Charizard
130;;False;;40;False;False;Air Cutter;;Charizard
131;;False;;43;False;False;Fling;;Charizard
132;;False;;44;True;False;Dragon Tail;;Charizard
133;;False;;47;False;False;Endure;;Charizard
134;;False;;49;False;False;Sunny Day;;Charizard
135;;False;;51;False;False;Sandstorm;;Charizard
136;;False;;55;False;False;Dig;;Charizard
137;;False;;58;False;False;Brick Break;;Charizard
138;;False;;61;False;False;Shadow Claw;;Charizard
139;;False;;65;False;False;Air Slash;;Charizard
140;;False;;66;False;False;Body Slam;;Charizard
141;;False;;67;False;False;Fire Punch;;Charizard
142;;False;;68;False;False;Thunder Punch;;Charizard
143;;False;;70;False;False;Sleep Talk;;Charizard
144;;False;;85;False;False;Rest;;Charizard
145;;False;;86;False;False;Rock Slide;;Charizard
146;;False;;88;False;False;Swords Dance;;Charizard
147;;False;;97;False;False;Fly;;Charizard
148;;False;;100;False;False;Dragon Dance;;Charizard
149;;False;;103;False;False;Substitute;;Charizard
150;;False;;107;False;False;Will-O-Wisp;;Charizard
151;;False;;108;False;False;Crunch;;Charizard
152;;False;;115;False;False;Dragon Pulse;;Charizard
153;;False;;130;False;False;Helping Hand;;Charizard
154;;False;;141;False;False;Fire Blast;;Charizard
155;;False;;144;False;False;Fire Pledge;;Charizard
156;;False;;149;False;False;Earthquake;;Charizard
157;;False;;152;False;False;Giga Impact;;Charizard
158;;False;;153;False;False;Blast Burn;;Charizard
159;;False;;156;False;False;Outrage;;Charizard
160;;False;;157;False;False;Overheat;;Charizard
161;;False;;158;False;False;Focus Blast;;Charizard
162;;False;;160;False;False;Hurricane;;Charizard
163;;False;;163;False;False;Hyper Beam;;Charizard
164;;False;;168;False;False;Solar Beam;;Charizard
165;;False;;171;False;False;Tera Blast;;Charizard
166;;False;;;True;False;Ancient Power;;Charizard
167;;False;;;True;False;Belly Drum;;Charizard
168;;False;;;True;False;Bite;;Charizard
169;;False;;;True;False;Counter;;Charizard
170;;False;;;True;False;Dragon Rush;;Charizard
171;;False;;;True;False;Iron Tail;;Charizard
172;;False;;;True;False;Metal Claw;;Charizard
173;1;False;;02;False;False;Charm;;Pikachu
174;1;False;;;False;False;Growl;;Pikachu
175;1;False;;140;False;False;Nasty Plot;;Pikachu
176;1;False;;;False;False;Nuzzle;;Pikachu
177;1;False;;;False;False;Play Nice;;Pikachu
178;1;False;;;False;False;Quick Attack;;Pikachu
179;1;False;;;False;False;Sweet Kiss;;Pikachu
180;1;False;;;False;False;Tail Whip;;Pikachu
181;1;False;;;False;False;Thunder Shock;;Pikachu
182;4;False;;82;False;False;Thunder Wave;;Pikachu
183;8;False;;;False;False;Double Team;;Pikachu
184;12;False;;72;False;False;Electro Ball;;Pikachu
185;16;False;;;False;False;Feint;;Pikachu
186;20;False;;;False;False;Spark;;Pikachu
187;24;False;;04;False;False;Agility;;Pikachu
188;28;False;;;False;False;Iron Tail;;Pikachu
189;32;False;;;False;False;Discharge;;Pikachu
190;36;False;;126;False;False;Thunderbolt;;Pikachu
191;40;False;;75;False;False;Light Screen;;Pikachu
192;44;False;;166;False;False;Thunder;;Pikachu
193;;False;;01;False;False;Take Down;;Pikachu
194;;False;;03;False;False;Fake Tears;;Pikachu
195;;False;;07;False;False;Protect;;Pikachu
196;;False;;18;False;False;Thief;;Pikachu
197;;False;;19;True;False;Disarming Voice;;Pikachu
198;;False;;20;False;False;Trailblaze;;Pikachu
199;;False;;23;False;False;Charge Beam;;Pikachu
200;;False;;25;False;False;Facade;;Pikachu
201;;False;;32;False;False;Swift;;Pikachu
202;;False;;37;False;False;Draining Kiss;;Pikachu
203;;False;;43;False;False;Fling;;Pikachu
204;;False;;47;False;False;Endure;;Pikachu
205;;False;;48;False;False;Volt Switch;;Pikachu
206;;False;;50;False;False;Rain Dance;;Pikachu
207;;False;;55;False;False;Dig;;Pikachu
208;;False;;58;False;False;Brick Break;;Pikachu
209;;False;;66;False;False;Body Slam;;Pikachu
210;;False;;68;False;False;Thunder Punch;;Pikachu
211;;False;;70;False;False;Sleep Talk;;Pikachu
212;;False;;74;False;False;Reflect;;Pikachu
213;;False;;81;False;False;Grass Knot;;Pikachu
214;;False;;85;False;False;Rest;;Pikachu
215;;False;;96;False;False;Eerie Impulse;;Pikachu
216;;False;;103;False;False;Substitute;;Pikachu
217;;False;;122;False;False;Encore;;Pikachu
218;;False;;123;False;False;Surf;;Pikachu
219;;False;;127;False;False;Play Rough;;Pikachu
220;;False;;130;False;False;Helping Hand;;Pikachu
221;;False;;134;False;False;Reversal;;Pikachu
222;;False;;136;False;False;Electric Terrain;;Pikachu
223;;False;;147;False;False;Wild Charge;;Pikachu
224;;False;;171;False;False;Tera Blast;;Pikachu
225;;False;;;True;False;Charge;;Pikachu
226;;False;;;True;False;Fake Out;;Pikachu
227;;False;;;True;False;Flail;;Pikachu
228;;False;;;True;False;Present;;Pikachu
229;;False;;;True;False;Tickle;;Pikachu
230;;False;;;True;False;Wish;;Pikachu
231;1;False;;;False;False;Agility;;Raichu
232;1;False;;;False;False;Charm;;Raichu
233;1;False;;;False;False;Discharge;;Raichu
234;1;False;;;False;False;Double Team;;Raichu
235;1;False;;;False;False;Electro Ball;;Raichu
236;1;False;;;False;False;Feint;;Raichu
237;1;False;;;False;False;Growl;;Raichu
238;1;False;;;False;False;Iron Tail;;Raichu
239;1;False;;;False;False;Light Screen;;Raichu
240;1;False;;;False;False;Nasty Plot;;Raichu
241;1;False;;;False;False;Nuzzle;;Raichu
242;1;False;;;False;False;Play Nice;;Raichu
243;1;False;;;False;False;Quick Attack;;Raichu
244;1;False;;;False;False;Spark;;Raichu
245;1;False;;;False;False;Sweet Kiss;;Raichu
246;1;False;;;False;False;Tail Whip;;Raichu
247;1;False;;;False;False;Thunder;;Raichu
248;1;False;;;False;False;Thunder Shock;;Raichu
249;1;False;;;False;False;Thunder Wave;;Raichu
250;5;False;;;False;False;Thunderbolt;;Raichu
251;1;False;;02;False;False;Charm;;Jigglypuff
252;1;False;;;False;False;Copycat;;Jigglypuff
253;1;False;;;False;False;Defense Curl;;Jigglypuff
254;1;False;;;False;False;Disable;;Jigglypuff
255;1;False;;19;False;False;Disarming Voice;;Jigglypuff
256;1;False;;;False;False;Pound;;Jigglypuff
257;1;False;;;False;False;Sing;;Jigglypuff
258;1;False;;;False;False;Sweet Kiss;;Jigglypuff
259;4;False;;;False;False;Echoed Voice;;Jigglypuff
260;8;False;;;True;False;Covet;;Jigglypuff
261;12;False;;;False;False;Spit Up;;Jigglypuff
262;12;False;;;False;False;Stockpile;;Jigglypuff
263;12;False;;;False;False;Swallow;;Jigglypuff
264;16;False;;;False;False;Round;;Jigglypuff
265;20;False;;85;False;False;Rest;;Jigglypuff
266;24;False;;66;False;False;Body Slam;;Jigglypuff
267;28;False;;;False;False;Mimic;;Jigglypuff
268;32;False;;;False;False;Gyro Ball;;Jigglypuff
269;36;False;;117;False;False;Hyper Voice;;Jigglypuff
270;44;False;;;False;False;Double-Edge;;Jigglypuff
271;;False;;01;False;False;Take Down;;Jigglypuff
272;;False;;03;False;False;Fake Tears;;Jigglypuff
273;;False;;07;False;False;Protect;;Jigglypuff
274;;False;;11;False;False;Water Pulse;;Jigglypuff
275;;False;;18;False;False;Thief;;Jigglypuff
276;;False;;20;False;False;Trailblaze;;Jigglypuff
277;;False;;22;False;False;Chilling Water;;Jigglypuff
278;;False;;25;False;False;Facade;;Jigglypuff
279;;False;;32;False;False;Swift;;Jigglypuff
280;;False;;33;False;False;Magical Leaf;;Jigglypuff
281;;False;;34;False;False;Icy Wind;;Jigglypuff
282;;False;;37;False;False;Draining Kiss;;Jigglypuff
283;;False;;41;False;False;Stored Power;;Jigglypuff
284;;False;;43;False;False;Fling;;Jigglypuff
285;;False;;47;False;False;Endure;;Jigglypuff
286;;False;;49;False;False;Sunny Day;;Jigglypuff
287;;False;;50;False;False;Rain Dance;;Jigglypuff
288;;False;;51;False;False;Sandstorm;;Jigglypuff
289;;False;;54;False;False;Psyshock;;Jigglypuff
290;;False;;55;False;False;Dig;;Jigglypuff
291;;False;;58;False;False;Brick Break;;Jigglypuff
292;;False;;59;False;False;Zen Headbutt;;Jigglypuff
293;;False;;67;False;False;Fire Punch;;Jigglypuff
294;;False;;68;False;False;Thunder Punch;;Jigglypuff
295;;False;;69;False;False;Ice Punch;;Jigglypuff
296;;False;;70;False;False;Sleep Talk;;Jigglypuff
297;;False;;73;False;False;Drain Punch;;Jigglypuff
298;;False;;74;False;False;Reflect;;Jigglypuff
299;;False;;75;False;False;Light Screen;;Jigglypuff
300;;False;;79;False;False;Dazzling Gleam;;Jigglypuff
301;;False;;80;False;False;Metronome;;Jigglypuff
302;;False;;81;False;False;Grass Knot;;Jigglypuff
303;;False;;82;False;False;Thunder Wave;;Jigglypuff
304;;False;;87;False;False;Taunt;;Jigglypuff
305;;False;;89;False;False;Body Press;;Jigglypuff
306;;False;;94;False;False;Dark Pulse;;Jigglypuff
307;;False;;98;False;False;Skill Swap;;Jigglypuff
308;;False;;103;False;False;Substitute;;Jigglypuff
309;;False;;114;False;False;Shadow Ball;;Jigglypuff
310;;False;;116;False;False;Stealth Rock;;Jigglypuff
311;;False;;119;False;False;Energy Ball;;Jigglypuff
312;;False;;120;False;False;Psychic;;Jigglypuff
313;;False;;122;False;False;Encore;;Jigglypuff
314;;False;;124;False;False;Ice Spinner;;Jigglypuff
315;;False;;125;False;False;Flamethrower;;Jigglypuff
316;;False;;126;False;False;Thunderbolt;;Jigglypuff
317;;False;;127;False;False;Play Rough;;Jigglypuff
318;;False;;128;False;False;Amnesia;;Jigglypuff
319;;False;;129;False;False;Calm Mind;;Jigglypuff
320;;False;;130;False;False;Helping Hand;;Jigglypuff
321;;False;;132;False;False;Baton Pass;;Jigglypuff
322;;False;;135;False;False;Ice Beam;;Jigglypuff
323;;False;;139;False;False;Misty Terrain;;Jigglypuff
324;;False;;140;False;False;Nasty Plot;;Jigglypuff
325;;False;;141;False;False;Fire Blast;;Jigglypuff
326;;False;;143;False;False;Blizzard;;Jigglypuff
327;;False;;147;False;False;Wild Charge;;Jigglypuff
328;;False;;166;False;False;Thunder;;Jigglypuff
329;;False;;168;False;False;Solar Beam;;Jigglypuff
330;;False;;171;False;False;Tera Blast;;Jigglypuff
331;;False;;;True;False;Gravity;;Jigglypuff
332;;False;;;True;False;Heal Pulse;;Jigglypuff
333;;False;;;True;False;Last Resort;;Jigglypuff
334;;False;;;True;False;Perish Song;;Jigglypuff
335;;False;;;True;False;Present;;Jigglypuff
336;;False;;;True;False;Rollout;;Jigglypuff
337;;False;;;True;False;Wish;;Jigglypuff
338;1;False;;66;False;False;Body Slam;;Wigglytuff
339;1;False;;02;False;False;Charm;;Wigglytuff
340;1;False;;;False;False;Copycat;;Wigglytuff
341;1;False;;;True;False;Covet;;Wigglytuff
342;1;False;;;False;False;Defense Curl;;Wigglytuff
343;1;False;;;False;False;Disable;;Wigglytuff
344;1;False;;19;False;False;Disarming Voice;;Wigglytuff
345;1;False;;;False;False;Double-Edge;;Wigglytuff
346;1;False;;;False;False;Echoed Voice;;Wigglytuff
347;1;False;;;False;False;Gyro Ball;;Wigglytuff
348;1;False;;117;False;False;Hyper Voice;;Wigglytuff
349;1;False;;;False;False;Mimic;;Wigglytuff
350;1;False;;;False;False;Pound;;Wigglytuff
351;1;False;;85;False;False;Rest;;Wigglytuff
352;1;False;;;False;False;Round;;Wigglytuff
353;1;False;;;False;False;Sing;;Wigglytuff
354;1;False;;;False;False;Spit Up;;Wigglytuff
355;1;False;;;False;False;Stockpile;;Wigglytuff
356;1;False;;;False;False;Swallow;;Wigglytuff
357;1;False;;;False;False;Sweet Kiss;;Wigglytuff
358;5;False;;127;False;False;Play Rough;;Wigglytuff
359;;False;;01;False;False;Take Down;;Wigglytuff
360;;False;;03;False;False;Fake Tears;;Wigglytuff
361;;False;;07;False;False;Protect;;Wigglytuff
362;;False;;11;False;False;Water Pulse;;Wigglytuff
363;;False;;18;False;False;Thief;;Wigglytuff
364;;False;;20;False;False;Trailblaze;;Wigglytuff
365;;False;;22;False;False;Chilling Water;;Wigglytuff
366;;False;;25;False;False;Facade;;Wigglytuff
367;;False;;32;False;False;Swift;;Wigglytuff
368;;False;;33;False;False;Magical Leaf;;Wigglytuff
369;;False;;34;False;False;Icy Wind;;Wigglytuff
370;;False;;37;False;False;Draining Kiss;;Wigglytuff
371;;False;;41;False;False;Stored Power;;Wigglytuff
372;;False;;43;False;False;Fling;;Wigglytuff
373;;False;;47;False;False;Endure;;Wigglytuff
374;;False;;49;False;False;Sunny Day;;Wigglytuff
375;;False;;50;False;False;Rain Dance;;Wigglytuff
376;;False;;51;False;False;Sandstorm;;Wigglytuff
377;;False;;54;False;False;Psyshock;;Wigglytuff
378;;False;;55;False;False;Dig;;Wigglytuff
379;;False;;58;False;False;Brick Break;;Wigglytuff
380;;False;;59;False;False;Zen Headbutt;;Wigglytuff
381;;False;;67;False;False;Fire Punch;;Wigglytuff
382;;False;;68;False;False;Thunder Punch;;Wigglytuff
383;;False;;69;False;False;Ice Punch;;Wigglytuff
384;;False;;70;False;False;Sleep Talk;;Wigglytuff
385;;False;;73;False;False;Drain Punch;;Wigglytuff
386;;False;;74;False;False;Reflect;;Wigglytuff
387;;False;;75;False;False;Light Screen;;Wigglytuff
388;;False;;79;False;False;Dazzling Gleam;;Wigglytuff
389;;False;;80;False;False;Metronome;;Wigglytuff
390;;False;;81;False;False;Grass Knot;;Wigglytuff
391;;False;;82;False;False;Thunder Wave;;Wigglytuff
392;;False;;87;False;False;Taunt;;Wigglytuff
393;;False;;89;False;False;Body Press;;Wigglytuff
394;;False;;94;False;False;Dark Pulse;;Wigglytuff
395;;False;;98;False;False;Skill Swap;;Wigglytuff
396;;False;;103;False;False;Substitute;;Wigglytuff
397;;False;;114;False;False;Shadow Ball;;Wigglytuff
398;;False;;116;False;False;Stealth Rock;;Wigglytuff
399;;False;;119;False;False;Energy Ball;;Wigglytuff
400;;False;;120;False;False;Psychic;;Wigglytuff
401;;False;;122;False;False;Encore;;Wigglytuff
402;;False;;124;False;False;Ice Spinner;;Wigglytuff
403;;False;;125;False;False;Flamethrower;;Wigglytuff
404;;False;;126;False;False;Thunderbolt;;Wigglytuff
405;;False;;128;False;False;Amnesia;;Wigglytuff
406;;False;;129;False;False;Calm Mind;;Wigglytuff
407;;False;;130;False;False;Helping Hand;;Wigglytuff
408;;False;;132;False;False;Baton Pass;;Wigglytuff
409;;False;;135;False;False;Ice Beam;;Wigglytuff
410;;False;;139;False;False;Misty Terrain;;Wigglytuff
411;;False;;140;False;False;Nasty Plot;;Wigglytuff
412;;False;;141;False;False;Fire Blast;;Wigglytuff
413;;False;;143;False;False;Blizzard;;Wigglytuff
414;;False;;147;False;False;Wild Charge;;Wigglytuff
415;;False;;152;False;False;Giga Impact;;Wigglytuff
416;;False;;158;False;False;Focus Blast;;Wigglytuff
417;;False;;163;False;False;Hyper Beam;;Wigglytuff
418;;False;;166;False;False;Thunder;;Wigglytuff
419;;False;;168;False;False;Solar Beam;;Wigglytuff
420;;False;;171;False;False;Tera Blast;;Wigglytuff
421;;False;;;True;False;Gravity;;Wigglytuff
422;;False;;;True;False;Heal Pulse;;Wigglytuff
423;;False;;;True;False;Last Resort;;Wigglytuff
424;;False;;;True;False;Perish Song;;Wigglytuff
425;;False;;;True;False;Present;;Wigglytuff
426;;False;;;True;False;Rollout;;Wigglytuff
427;;False;;;True;False;Wish;;Wigglytuff
428;1;False;;;False;False;Disable;;Venonat
429;1;False;;;False;False;Tackle;;Venonat
430;5;False;;;False;False;Supersonic;;Venonat
431;11;False;;;False;False;Confusion;;Venonat
432;13;False;;;False;False;Poison Powder;;Venonat
433;17;False;;16;False;False;Psybeam;;Venonat
434;23;False;;;False;False;Stun Spore;;Venonat
435;25;False;;162;False;False;Bug Buzz;;Venonat
436;29;False;;;False;False;Sleep Powder;;Venonat
437;35;False;;95;False;False;Leech Life;;Venonat
438;37;False;;59;False;False;Zen Headbutt;;Venonat
439;41;False;;;False;False;Poison Fang;;Venonat
440;47;False;;120;False;False;Psychic;;Venonat
441;;False;;01;False;False;Take Down;;Venonat
442;;False;;04;True;False;Agility;;Venonat
443;;False;;07;False;False;Protect;;Venonat
444;;False;;13;False;False;Acid Spray;;Venonat
445;;False;;15;False;False;Struggle Bug;;Venonat
446;;False;;17;False;False;Confuse Ray;;Venonat
447;;False;;18;False;False;Thief;;Venonat
448;;False;;21;False;False;Pounce;;Venonat
449;;False;;25;False;False;Facade;;Venonat
450;;False;;32;False;False;Swift;;Venonat
451;;False;;42;False;False;Night Shade;;Venonat
452;;False;;45;True;False;Venoshock;;Venonat
453;;False;;47;False;False;Endure;;Venonat
454;;False;;49;False;False;Sunny Day;;Venonat
455;;False;;70;False;False;Sleep Talk;;Venonat
456;;False;;85;False;False;Rest;;Venonat
457;;False;;91;True;False;Toxic Spikes;;Venonat
458;;False;;98;False;False;Skill Swap;;Venonat
459;;False;;103;False;False;Substitute;;Venonat
460;;False;;111;False;False;Giga Drain;;Venonat
461;;False;;119;False;False;Energy Ball;;Venonat
462;;False;;132;True;False;Baton Pass;;Venonat
463;;False;;148;False;False;Sludge Bomb;;Venonat
464;;False;;168;False;False;Solar Beam;;Venonat
465;;False;;171;False;False;Tera Blast;;Venonat
466;;False;;;True;False;Bug Bite;;Venonat
467;;False;;;True;False;Morning Sun;;Venonat
468;;False;;;True;False;Rage Powder;;Venonat
469;;False;;;True;False;Screech;;Venonat
470;1;False;;;False;False;Disable;;Venomoth
471;1;False;;;False;False;Quiver Dance;;Venomoth
472;1;False;;;False;False;Supersonic;;Venomoth
473;1;False;;;False;False;Tackle;;Venomoth
474;11;False;;;False;False;Confusion;;Venomoth
475;13;False;;;False;False;Poison Powder;;Venomoth
476;17;False;;16;False;False;Psybeam;;Venomoth
477;23;False;;;False;False;Stun Spore;;Venomoth
478;25;False;;162;False;False;Bug Buzz;;Venomoth
479;29;False;;;False;False;Sleep Powder;;Venomoth
480;37;False;;95;False;False;Leech Life;;Venomoth
481;41;False;;59;False;False;Zen Headbutt;;Venomoth
482;47;False;;;False;False;Poison Fang;;Venomoth
483;55;False;;120;False;False;Psychic;;Venomoth
484;;False;;01;False;False;Take Down;;Venomoth
485;;False;;04;True;False;Agility;;Venomoth
486;;False;;07;False;False;Protect;;Venomoth
487;;False;;13;False;False;Acid Spray;;Venomoth
488;;False;;14;False;False;Acrobatics;;Venomoth
489;;False;;15;False;False;Struggle Bug;;Venomoth
490;;False;;17;False;False;Confuse Ray;;Venomoth
491;;False;;18;False;False;Thief;;Venomoth
492;;False;;21;False;False;Pounce;;Venomoth
493;;False;;25;False;False;Facade;;Venomoth
494;;False;;32;False;False;Swift;;Venomoth
495;;False;;40;False;False;Air Cutter;;Venomoth
496;;False;;42;False;False;Night Shade;;Venomoth
497;;False;;45;True;False;Venoshock;;Venomoth
498;;False;;47;False;False;Endure;;Venomoth
499;;False;;49;False;False;Sunny Day;;Venomoth
500;;False;;60;False;False;U-turn;;Venomoth
501;;False;;65;False;False;Air Slash;;Venomoth
502;;False;;70;False;False;Sleep Talk;;Venomoth
503;;False;;85;False;False;Rest;;Venomoth
504;;False;;91;True;False;Toxic Spikes;;Venomoth
505;;False;;98;False;False;Skill Swap;;Venomoth
506;;False;;103;False;False;Substitute;;Venomoth
507;;False;;111;False;False;Giga Drain;;Venomoth
508;;False;;119;False;False;Energy Ball;;Venomoth
509;;False;;132;True;False;Baton Pass;;Venomoth
510;;False;;148;False;False;Sludge Bomb;;Venomoth
511;;False;;152;False;False;Giga Impact;;Venomoth
512;;False;;163;False;False;Hyper Beam;;Venomoth
513;;False;;168;False;False;Solar Beam;;Venomoth
514;;False;;171;False;False;Tera Blast;;Venomoth
515;;False;;;True;False;Bug Bite;;Venomoth
516;;False;;;True;False;Morning Sun;;Venomoth
517;;False;;;True;False;Rage Powder;;Venomoth
518;;False;;;True;False;Screech;;Venomoth
519;1;False;;;False;False;Scratch;;Psyduck
520;1;False;;;False;False;Tail Whip;;Psyduck
521;3;False;;;False;False;Water Gun;;Psyduck
522;6;False;;;False;False;Confusion;;Psyduck
523;9;False;;;False;False;Fury Swipes;;Psyduck
524;12;False;;11;False;False;Water Pulse;;Psyduck
525;15;False;;;False;False;Disable;;Psyduck
526;18;False;;59;False;False;Zen Headbutt;;Psyduck
527;21;False;;;False;False;Screech;;Psyduck
528;24;False;;;False;False;Aqua Tail;;Psyduck
529;27;False;;;False;False;Soak;;Psyduck
530;30;False;;;False;False;Psych Up;;Psyduck
531;34;False;;128;False;False;Amnesia;;Psyduck
532;39;False;;;False;False;Wonder Room;;Psyduck
533;;False;;01;False;False;Take Down;;Psyduck
534;;False;;07;False;False;Protect;;Psyduck
535;;False;;12;False;False;Low Kick;;Psyduck
536;;False;;16;True;False;Psybeam;;Psyduck
537;;False;;17;True;False;Confuse Ray;;Psyduck
538;;False;;18;False;False;Thief;;Psyduck
539;;False;;20;False;False;Trailblaze;;Psyduck
540;;False;;22;False;False;Chilling Water;;Psyduck
541;;False;;25;False;False;Facade;;Psyduck
542;;False;;32;False;False;Swift;;Psyduck
