Name;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Type1;Type2;PokedexId
Florges;552;78;65;68;112;154;75;Fairy;;0671
Skiddo;350;66;65;48;62;57;52;Grass;;0672
Gogoat;531;123;100;62;97;81;68;Grass;;0673
Pancham;348;67;82;62;46;48;43;Fighting;;0674
Pangoro;495;95;124;78;69;71;58;Fighting;Dark;0675
Furfrou;472;75;80;60;65;90;102;Normal;;0676
Espurr;355;62;48;54;63;60;68;Psychic;;0677
Meowstic Male;466;74;48;76;83;81;104;Psychic;;0678
Meowstic Female;466;74;48;76;83;81;104;Psychic;;0678
Honedge;325;45;80;100;35;37;28;Steel;Ghost;0679
Doublade;448;59;110;150;45;49;35;Steel;Ghost;0680
Aegislash Shield Forme;500;60;50;140;50;140;60;Steel;Ghost;0681
Aegislash Blade Forme;500;60;140;50;140;50;60;Steel;Ghost;0681
Spritzee;341;78;52;60;63;65;23;Fairy;;0682
Aromatisse;462;101;72;72;99;89;29;Fairy;;0683
Swirlix;341;62;48;66;59;57;49;Fairy;;0684
Slurpuff;480;82;80;86;85;75;72;Fairy;;0685
Inkay;288;53;54;53;37;46;45;Dark;Psychic;0686
Malamar;482;86;92;88;68;75;73;Dark;Psychic;0687
Binacle;306;42;52;67;39;56;50;Rock;Water;0688
Barbaracle;500;72;105;115;54;86;68;Rock;Water;0689
Skrelp;320;50;60;60;60;60;30;Poison;Water;0690
Dragalge;494;65;75;90;97;123;44;Poison;Dragon;0691
Clauncher;330;50;53;62;58;63;44;Water;;0692
Clawitzer;500;71;73;88;120;89;59;Water;;0693
Helioptile;289;44;38;33;61;43;70;Electric;Normal;0694
Heliolisk;481;62;55;52;109;94;109;Electric;Normal;0695
Tyrunt;362;58;89;77;45;45;48;Rock;Dragon;0696
Tyrantrum;521;82;121;119;69;59;71;Rock;Dragon;0697
Amaura;362;77;59;50;67;63;46;Rock;Ice;0698
Aurorus;521;123;77;72;99;92;58;Rock;Ice;0699
Sylveon;525;95;65;65;110;130;60;Fairy;;0700
Hawlucha;500;78;92;75;74;63;118;Fighting;Flying;0701
Dedenne;431;67;58;57;81;67;101;Electric;Fairy;0702
Carbink;500;50;50;150;50;150;50;Rock;Fairy;0703
Goomy;300;45;50;35;55;75;40;Dragon;;0704
Sliggoo;452;68;75;53;83;113;60;Dragon;;0705
Goodra;600;90;100;70;110;150;80;Dragon;;0706
Klefki;470;57;80;91;80;87;75;Steel;Fairy;0707
Phantump;309;43;70;48;50;60;38;Ghost;Grass;0708
Trevenant;474;85;110;76;65;82;56;Ghost;Grass;0709
Pumpkaboo Average Size;335;49;66;70;44;55;51;Ghost;Grass;0710
Pumpkaboo Small Size;335;44;66;70;44;55;56;Ghost;Grass;0710
Pumpkaboo Large Size;335;54;66;70;44;55;46;Ghost;Grass;0710
Pumpkaboo Super Size;335;59;66;70;44;55;41;Ghost;Grass;0710
Gourgeist Average Size;494;65;90;122;58;75;84;Ghost;Grass;0711
Gourgeist Small Size;494;55;85;122;58;75;99;Ghost;Grass;0711
Gourgeist Large Size;494;75;95;122;58;75;69;Ghost;Grass;0711
Gourgeist Super Size;494;85;100;122;58;75;54;Ghost;Grass;0711
Bergmite;304;55;69;85;32;35;28;Ice;;0712
Avalugg;514;95;117;184;44;46;28;Ice;;0713
Noibat;245;40;30;35;45;40;55;Flying;Dragon;0714
Noivern;535;85;70;80;97;80;123;Flying;Dragon;0715
Xerneas;680;126;131;95;131;98;99;Fairy;;0716
Yveltal;680;126;131;95;131;98;99;Dark;Flying;0717
Zygarde 50% Forme;600;108;100;121;81;95;95;Dragon;Ground;0718
Diancie;600;50;100;150;100;150;50;Rock;Fairy;0719
Diancie Mega Diancie;700;50;160;110;160;110;110;Rock;Fairy;0719
Hoopa Hoopa Confined;600;80;110;60;150;130;70;Psychic;Ghost;0720
Hoopa Hoopa Unbound;680;80;160;60;170;130;80;Psychic;Dark;0720
Volcanion;600;80;110;120;130;90;70;Fire;Water;0721
